anime_id,name,genre,type,episodes,rating,members,image_url
9547,Alps no Shoujo Heidi (1979),"Drama, Historical, Slice of Life",Movie,1,7.0,1480,
3631,Aoi Blink,"Adventure, Fantasy",TV,39,7.0,931,
750,Binchou-tan,"Comedy, Slice of Life",TV,12,7.0,6960,
6246,Black Jack: Sora kara Kita Kodomo,Drama,OVA,1,7.0,1595,
25437,Brothers Conflict OVA,"Harem, Romance, Shoujo",OVA,2,7.0,10286,
2684,Buzzer Beater 2nd Season,"Action, Sci-Fi, Shounen, Sports",TV,13,7.0,5193,
2121,Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,"Action, Shounen, Sports",Movie,1,7.0,2334,
32483,Cheer Danshi!!,"School, Sports",TV,12,7.0,29219,
514,Cossette no Shouzou,"Drama, Horror, Magic, Psychological, Romance, Supernatural",OVA,3,7.0,40318,
22699,Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Slice of Life, Super Power",Special,1,7.0,4153,
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance, Shoujo",OVA,4,7.0,11740,
9154,Kindaichi Shounen no Jikenbo: Satsuriku no Deep Blue,"Mystery, Shounen",Movie,1,7.0,631,
2215,Kishin Taisen Gigantic Formula,"Mecha, Sci-Fi",TV,26,7.0,4633,
5091,Manga Sarutobi Sasuke,"Adventure, Comedy, Historical, Supernatural",TV,24,7.0,523,
3462,Minky Momo in Yume ni Kakeru Hashi,"Drama, Shoujo, Slice of Life",OVA,1,7.0,600,
1917,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,"Mecha, Military, Sci-Fi, Space",OVA,3,7.0,8274,
33546,Monster Strike: Mermaid Rhapsody,"Action, Fantasy, Game",ONA,1,7.0,854,
1792,Overman King Gainer,"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,26,7.0,6551,
13377,Recorder to Randoseru Re♪,"Comedy, School, Seinen, Slice of Life",TV,13,7.0,17283,
19365,Samurai Flamenco,"Action, Comedy, Parody",TV,22,7.0,74324,
30806,Schwarzesmarken,"Action, Drama, Historical, Mecha, Military, Sci-Fi",TV,12,7.0,51632,
884,Shin Angyo Onshi,"Action, Fantasy",Movie,1,7.0,13231,
19841,Super Seisyun Brothers,"Comedy, Josei, Slice of Life",TV,14,7.0,18072,
3248,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,"Action, Drama, Historical, Supernatural",Special,5,7.0,1892,
21851,Tesagure! Bukatsumono Encore,"Parody, School, Slice of Life",TV,12,7.0,2084,
5830,Tsurupika Hagemaru-kun,"Comedy, Kids",TV,59,7.0,322,
3501,Wellber no Monogatari: Sisters of Wellber Zwei,"Adventure, Fantasy, Historical, Romance",TV,13,7.0,3038,
6479,Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,"Romance, Shoujo Ai, Slice of Life",Special,1,6.99,15078,
2274,CLAMP in Wonderland,Music,Music,1,6.99,12267,
1841,Dai Mahou Touge Omake,Comedy,Special,4,6.99,5579,
292,Dear Boys,"Drama, Shounen, Sports",TV,26,6.99,12662,
896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,6.99,57840,
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",OVA,4,6.99,5771,
2973,Fire Tripper,"Fantasy, Sci-Fi",OVA,1,6.99,2115,
603,Futari wa Precure,"Action, Comedy, Fantasy, Magic, Shoujo",TV,49,6.99,17671,
12163,Ginga Tetsudou 999: Hoshizora wa Time Machine,"Drama, Sci-Fi",Movie,1,6.99,443,
2569,Jungle Book Shounen Mowgli,"Adventure, Drama",TV,52,6.99,3035,
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,"Adventure, Comedy, Drama, Martial Arts, Samurai, Shounen",TV,13,6.99,6733,
2772,Juushin Enbu: Hero Tales,"Action, Fantasy, Shounen",TV,26,6.99,16502,
1768,Kikaider 01 The Animation,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,4,6.99,1710,
5967,Kinnikuman II Sei: Ultimate Muscle,"Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports",TV,13,6.99,2435,
3547,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen,"Comedy, Police",Movie,1,6.99,504,
5891,Kousoku Denjin Albegus,Mecha,TV,45,6.99,698,
20889,Kuro no Sumika: Chronus,Psychological,Movie,1,6.99,12270,
6794,Kurokami: Tora to Tsubasa,"Action, Martial Arts, Super Power",Special,1,6.99,6302,
13247,Lupin III: Lupin Ikka Seizoroi,"Adventure, Comedy, Shounen",Special,1,6.99,1462,
32153,Mahou Shoujo Madoka★Magica: Concept Movie,"Drama, Magic, Psychological, Thriller",Movie,1,6.99,5452,
2707,Majime ni Fumajime Kaiketsu Zorori,"Adventure, Kids",TV,97,6.99,390,
1509,Mamotte! Lollipop,"Adventure, Comedy, Magic, Romance, Shoujo",TV,13,6.99,11747,
1935,Megazone 23,"Action, Mecha, Music, Mystery, Romance, Sci-Fi",OVA,4,6.99,6483,
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,"Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural",Movie,1,6.99,97308,
800,NieA Under 7,"Comedy, Sci-Fi, Slice of Life",TV,13,6.99,16711,
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",TV,26,6.99,315,
9884,Osomatsu-kun,Comedy,TV,56,6.99,1322,
31756,Owari no Seraph: The Beginning of the End,"Action, Drama, Shounen, Supernatural, Vampire",Special,1,6.99,14248,
2363,Pokemon Housoukyoku,"Adventure, Comedy, Fantasy, Kids",TV,16,6.99,15461,
