anime_id,name,genre,type,episodes,rating,members,image_url
27949,Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro,"Fantasy, Magic",ONA,1,5.56,223,https://cdn.myanimelist.net/images/anime/8/67755.jpg
8773,Nekko-kun,"Kids, Music",Music,1,5.56,185,https://cdn.myanimelist.net/images/anime/4/24211.jpg
2790,Oira Sukeban,"Comedy, Ecchi, School",OVA,1,5.56,955,https://cdn.myanimelist.net/images/anime/2/54629.jpg
13519,Organic,Comedy,ONA,1,5.56,183,https://cdn.myanimelist.net/images/anime/2/38001.jpg
6491,Scandal,"Music, Slice of Life",ONA,12,5.56,1062,https://cdn.myanimelist.net/images/manga/3/296569.jpg
33803,Sengoku Choujuu Giga,"Demons, Historical, Supernatural",TV,26,5.56,3248,https://cdn.myanimelist.net/images/anime/7/83737.jpg
9910,Shokichi Monogatari,"Kids, Music",Music,1,5.56,180,https://cdn.myanimelist.net/images/anime/1170/121597.jpg
2003,Tokyo Vice,"Action, Mecha, Mystery, Sci-Fi",OVA,1,5.56,711,https://cdn.myanimelist.net/images/anime/8/54321.jpg
10979,48x61,"Comedy, Sports",ONA,1,5.55,779,https://cdn.myanimelist.net/images/anime/5/30453.jpg
29850,AKB48 Stage Fighter,Action,Special,1,5.55,359,https://cdn.myanimelist.net/images/anime/12/71667.jpg
19217,And And,Music,Music,1,5.55,470,https://cdn.myanimelist.net/images/anime/3/51517.jpg
17048,Choujin Locke Special,"Action, Sci-Fi, Super Power",Special,1,5.55,171,https://cdn.myanimelist.net/images/anime/4/45600.jpg
32749,Hizumu Realism,"Dementia, Music",Music,1,5.55,130,https://cdn.myanimelist.net/images/anime/11/78577.jpg
7451,Kid&#039;s Castle,Comedy,Movie,1,5.55,337,https://cdn.myanimelist.net/images/anime/1604/98654.jpg
9850,Koguma no Koro-chan,Kids,Movie,1,5.55,248,https://cdn.myanimelist.net/images/anime/6/27260.jpg
10104,Loups=Garous Picture Drama,"Mystery, Sci-Fi",Special,1,5.55,1041,https://cdn.myanimelist.net/images/anime/12/27874.jpg
8752,Message Song,Music,Music,1,5.55,168,https://cdn.myanimelist.net/images/anime/6/24188.jpg
10941,Mushi no Tameiki,Music,Music,1,5.55,465,https://cdn.myanimelist.net/images/anime/12/30186.jpg
30473,"Nemure Omoi Ko, Sora no Shitone ni","Adventure, Drama, Space",Movie,1,5.53,508,https://cdn.myanimelist.net/images/anime/5/50551.jpg
3517,New Hal &amp; Bons,"Comedy, Slice of Life",OVA,9,5.55,174,https://cdn.myanimelist.net/images/anime/4/5879.jpg
